TITRE,ARTISTE,DUREE,URL,STYLE,SUBSTYLE,DIR,ID 
From East to West,ZALIE &  NOP,01:00:29,https://www.mixcloud.com/5KRADIOLIVE/from-east-to-west-classic-hiphop/,RAP,OLDSCHOOL,BD5KRADIO/eastToWest/eastToWest,59
Shoegazer,FONDU & TRANSI,42:58:00,https://www.mixcloud.com/5KRADIOLIVE/shoegazer-par-djfondu-et-djtransi/,ROCK,SHOEGAZE,BD5KRADIO/shoegazer/shoegazer,60
SIAK,Zzz,01:00:29,https://www.mixcloud.com/5KRADIOLIVE/siak/,MIX,CHILL,BD5KRADIO/siak/siak,61
Rap oldschool,Vandal,59:07:00,https://www.mixcloud.com/5KRADIOLIVE/rap-oldschool-by-djvandal/,RAP,OLDSCHOOL,BD5KRADIO/rapOldschool/rapOldschool,62
Nueve Uno,BEAT&COOT0,01:00:21,https://www.mixcloud.com/5KRADIOLIVE/nueve-uno/,RAP,FRENCH,BD5KRADIO/nueveUno/nueveUno,63
Staff Benda Billili,MGBZZ,N/A,N/A,CHILL,N/A,BD5KRADIO/staff/staff,64
Berlin Entrance,Vandal,N/A,N/A,TECHNO,N/A,BD5KRADIO/berlinEntrance/berlinEntrance,65
Et ça galope,Vandal,N/A,N/A,TECHNO,N/A,BD5KRADIO/caGalope/caGalope,66
Neujeu et Triste ,BTCT,N/A,N/A,RAP,SOUTHSIDE,BD5KRADIO/neujeu/neujeu,67
Magicals drums and deep basses ,VNDL,N/A,N/A,DNB,N/A,BD5KRADIO/magicalDrums/magicalDrums,68
Rubba-A-Dub,BTCT,N/A,N/A,DUB,MIX,BD5KRADIO/rubbaADub/rubbaADub,69
Return to dreamland,Zzz,N/A,N/A,RAP,DRILL,BD5KRADIO/dreamland/dreamland,70
