TITRE,ARTISTE,DUREE,URL,STYLE,SUBSTYLE,DIR
Mental 1Fra 163 BPM,Vandal ,29:29:00,https://www.mixcloud.com/5KRADIOLIVE/vandalll-mental-1fra-163-bpm/,TECHNO,MENTAL,BD5KRADIO/mental163
What a feeling ,Pivi,34:02:00,https://www.mixcloud.com/5KRADIOLIVE/what-a-feeling/,ALTERNATIVE,INDIE,BD5KRADIO/whatAFeel
Back to Back ,Zzz,44:01:00,https://www.mixcloud.com/5KRADIOLIVE/back-to-back-zzz/,RAP,TRAP,BD5KRADIO/back2back
A Road to Speed and Distortion,Vandal,45:22:00,https://www.mixcloud.com/5KRADIOLIVE/a-road-to-speed-and-distortion/,TECHNO,GABBER,BD5KRADIO/roadToSpeed (no mp3)
Feel da Phonk vol.1 : Back to 90s Memphis,BEAT&COOT0,01:21:12,https://www.mixcloud.com/5KRADIOLIVE/feel-da-phonk-vol1-back-to-90s-memphis/,RAP,PHONK,BD5KRADIO/feelDaPhonk
Hardtek,Vandal,01:09:25,https://www.mixcloud.com/5KRADIOLIVE/vandal-hardtek/,TECHNO,HARDTEK,BD5KRADIO/hardtek
Sonideros sound,Vandal,01:01:48,https://www.mixcloud.com/5KRADIOLIVE/vandal-sondieros-sound/,LATIN,SALSA,BD5KRADIO/sondieros
Reggaeton & rap,BEAT&COOT03,01:03:31,https://www.mixcloud.com/5KRADIOLIVE/mage-reggaeton-rap/,LATIN,REGGAETON,BD5KRADIO/rapAndReggaeton
Hardcore Invazion,Vandal,55:05:00,https://www.mixcloud.com/5KRADIOLIVE/vandal-hardcore-invazion/,TECHNO,HARDCORE,BD5KRADIO/coreInvazion
Spécial Hip-Hip pour la ferme de l'ilôt,BEAT&COOT0 & MGBZZ,01:13:33,https://www.mixcloud.com/5KRADIOLIVE/special-hip-hop-pour-la-ferme-de-lilot-mgbzzxbtct/,RAP,OLDSCHOOL,BD5KRADIO/hiphopFerme
Peinard,BEAT&COOT0,01:33:08,https://www.mixcloud.com/5KRADIOLIVE/peinard-dj-beatc00to-2021/,MIX,CHILL,BD5KRADIO/peinard
Freestyle.II,MGBZZ,59:23:00,https://www.mixcloud.com/5KRADIOLIVE/mgbzz-freestyleii/,MIX,null,BD5KRADIO/freestyleII 
The Paris Oddities,Gloomy,37:44:00,https://www.mixcloud.com/5KRADIOLIVE/gloomy-the-paris-oddities/,POP,HAZEPOP,BD5KRADIO/parisOdd
Cult Girlfriend,Pivi,01:23:01,https://www.mixcloud.com/5KRADIOLIVE/pivi-cult-girlfriend/,ALTERNATIVE,INDIE,BD5KRADIO/cultGf 
 Trajet II,Vandal,59:04:00,https://www.mixcloud.com/5KRADIOLIVE/vandal-trajet-ii/,MIX,null,BD5KRADIO/trajetII 
What's in my head ,Mage,56:44:00,https://www.mixcloud.com/5KRADIOLIVE/mage-whats-in-my-head/,ROCK,PSYCHDELIC,BD5KRADIO/myHead
Pournima Dhumale,Pivi,55:51:00,https://www.mixcloud.com/5KRADIOLIVE/raag-bheem-pourniama-dhumale-dj-ez/,RAAG,BHEEM,BD5KRADIO/pournima 
420',BEAT&COOT0 & MGBZZ,01:00:00,https://www.mixcloud.com/5KRADIOLIVE/420-beatcoot0-x-mgbzz/,MIX,CHILL,BD5KRADIO/420
Fleurs Fanées vol.IV,Vandal,01:06:48,https://www.mixcloud.com/5KRADIOLIVE/fleurs-fanees-voliv/,RAP,OLDSCHOOL,BD5KRADIO/fleursFaneesIV
Monsieur Jack,Vandal,01:03:23,https://www.mixcloud.com/5KRADIOLIVE/monsieur-jack-par-dj-vandal/,TECHNO,null,BD5KRADIO/monsieurJack
Cxld Chrxstmxs,BEAT&COOT0,01:00:26,https://www.mixcloud.com/5KRADIOLIVE/cxld-chrxstmxs-par-btct/,ALTERNATIVE,COLDWAVE,BD5KRADIO/cxldChrxstmxs
Sweet Dreams,MGBZZ ,01:07:48,https://www.mixcloud.com/5KRADIOLIVE/sweet-dreams-par-mgbzz/,TECHNO,CHILL,BD5KRADIO/sweetDream
Champotek,BEAT&COOT0 &MGBZZ,02:14:09,https://www.mixcloud.com/5KRADIOLIVE/champotek-par-mgbzz/,TECHNO,ACID,BD5KRADIO/champotek
FREESTYLE,MGBZZ,01:00:54,https://www.mixcloud.com/5KRADIOLIVE/freestyle-par-mgbzz/,MIX,CHILL,BD5KRADIO/freestyle
Balance tes sons ,BEAT&COOT0 ,31:02:00,https://www.mixcloud.com/5KRADIOLIVE/balances-tes-sons-par-btct/,ROCK,PSYCHDELIC,BD5KRADIO/balance
L part.III,BEAT&COOT0 & MGBZZ,01:01:01,https://www.mixcloud.com/5KRADIOLIVE/l-partiii-mgbz-x-btct/,MIX,CHILL,BD5KRADIO/lpIII
Supertra(m)p,Zzz,59:44:00,https://www.mixcloud.com/5KRADIOLIVE/supertrans-by-dj-ez/,RAP,TRAP,BD5KRADIO/supertramp
Flying,MGBZZ,56:14:00,https://www.mixcloud.com/5KRADIOLIVE/flying-dj-mgbzz/,MIX,CHILL,BD5KRADIO/flying
23 Tribes,Vandal,01:01:39,https://www.mixcloud.com/5KRADIOLIVE/23-tribes-by-dj-vandal/,TECHNO,TRIBE,BD5KRADIO/23tribes
80's bby ,BEAT&COOT0 & MGBZZ,01:04:31,https://www.mixcloud.com/5KRADIOLIVE/80s-bby-by-dj-beatcoot0/,ROCK,GOTHIC,BD5KRADIO/80sBby
Shoegaze de l'Europe de l'Est,BEAT&COOT0,01:01:55,https://www.mixcloud.com/5KRADIOLIVE/shoegaze-deurope-de-lest-by-dj-beatcoot0/,ROCK,SHOEGAZE,BD5KRADIO/shoegazeEast
Smooth State ,Vandal,01:20:34,https://www.mixcloud.com/5KRADIOLIVE/smooth-state-dj-vandal/,TECHNO,null,BD5KRADIO/smoothState
Fleurs fanées vol.II ,Vandal,01:00:42,https://www.mixcloud.com/5KRADIOLIVE/fleurs-fanees-volii-dj-vandal/,RAP,OLDSCHOOL,BD5KRADIO/fleursFaneesII
